organization,page,url,founded,1996 Circulation,1997 Circulation,1998 Circulation,1999 Circulation,2000 Circulation,2001 Circulation,2002 Circulation,2003 Circulation,2004 Circulation,2005 Circulation,2006 Circulation,2007 Circulation,2008 Circulation,2009 Circulation,2010 Circulation,2011 Circulation,2012 Circulation,2013 Circulation
Arizona Republic,azcentral.com,azcentral.com,1890,382122,446371,484630,482159,482003,482259,496000,486131,466926,452016,438722,433731,413332,389701,351207,337170,321600,
Arizona Republic,thearizonarepublic.com,thearizonarepublic.com,1890,382122,446371,484630,482159,482003,482259,496000,486131,466926,452016,438722,433731,413332,389701,351207,337170,321600,
Arizona Republic,arizonarepublic.com,arizonarepublic.com,1890,382122,446371,484630,482159,482003,482259,496000,486131,466926,452016,438722,433731,413332,389701,351207,337170,321600,
Atlanta Journal Constitution,ajc.com,ajc.com,2001,,,,,341481,,416000,419568,409873,396888,365011,357399,326907,261828,,,,156227
Boston Globe,bostonglobe.com,bostonglobe.com,1872,471024,466317,472668,469311,477074,467217,479000,448817,446241,429552,397288,382503,350605,302638,,219214,,245572
Chicago Sun Times,chicago.suntimes.com,chicago.suntimes.com,1948,496030,491143,494146,477302,482234,484423,487000,491795,453757,432230,368062,,312274,312141,268803,251108,269489,262461
Chicago Sun Times,suntimes.com,suntimes.com,1948,496030,491143,494146,477302,482234,484423,487000,491795,453757,432230,368062,,312274,312141,268803,251108,269489,262461
Chicago Tribune,chicagotribune.com,chicagotribune.com,1847,680535,664586,655522,644971,633599,621870,628000,621055,603315,565679,579079,566827,541663,501203,452145,437205,414590,414930
Cleveland Plain Dealer,cleveland.com/plaindealer,cleveland.com,1842,386256,387011,400421,394740,,363693,368000,373137,367528,348416,343163,344704,330280,291630,267888,254372,246571,311605
Cleveland Plain Dealer,theplaindealer.com,theplaindealer.com,1842,386256,387011,400421,394740,,363693,368000,373137,367528,348416,343163,344704,330280,291630,267888,254372,246571,311605
Cleveland Plain Dealer,plaindealer.com,plaindealer.com,1842,,,,,,,,,,,,,,,,,,
Colorado Rocky Mountain News,rockymountainnews.com,rockymountainnews.com,1859,,,,359068,446465,364197,,,,,,,,,,,,
Dallas Morning News,dallasnews.com,dallasnews.com,1885,502893,513506,509775,503339,515529,516256,,532050,528379,477493,480484,411919,368313,331907,260659,251510,251918,256525
Denver Post,denverpost.com,denverpost.com,1892,334436,353786,354102,370423,413730,362625,,,340007,321405,,,,371728,333675,324970,391120,406635
Detroit Free Press,freep.com,freep.com,1831,363385,363426,381599,368972,,362979,365000,363490,379304,370875,345861,329989,308944,290730,252017,246169,230739,
